timestamp,log_source,provider,user,event_type,device,src_ip,location,app,details,file_name,url
2025-10-27 09:05:00,Netflow,Netflow,erik.nilsen@datahaven.no,network.flow,WIN10-DH-045,10.4.23.87,"NO, Oslo",Outlook,TCP flow: 10.4.23.87 -> 13.107.4.50:443; bytes=3456; duration=00:00:12,,
2025-10-27 10:10:00,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,GET https://mail.datahaven.no/ -> 200 OK; User-Agent: Mozilla/5.0 (Windows NT 10.0),,https://mail.datahaven.no/
2025-10-27 11:25:00,WindowsEvent,Windows,erik.nilsen@datahaven.no,4624:Logon,WIN10-DH-045,10.4.23.87,"NO, Oslo",,Successful interactive logon for erik.nilsen@datahaven.no,,
2025-10-27 13:00:00,DNS,DNS,erik.nilsen@datahaven.no,dns.query,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,Query A record for portal.office.com -> 52.96.0.0,,
2025-10-27 15:45:00,Sysmon,Sysmon,erik.nilsen@datahaven.no,process.create,WIN10-DH-045,10.4.23.87,"NO, Oslo",msedge.exe,Process Create: ParentImage=C:\Windows\explorer.exe Image=... CommandLine='msedge.exe',C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,
2025-10-28 07:12:10+0000,PassiveDNS,PassiveDNS,erik.nilsen@datahaven.no,pdns.record,WIN10-DH-045,10.4.23.87,"NO, Oslo",,PDNS: i9152.cisele0.com -> 85.214.12.99 TTL=300; first_seen=2025-10-20; last_seen=2025-10-28,,
2025-10-28 07:12:20+0000,WHOIS,WHOIS,erik.nilsen@datahaven.no,whois.record,WIN10-DH-045,10.4.23.87,"NO, Oslo",,WHOIS: i9152.cisele0.com registered 2025-10-18; registrar=NameCheap; registrant=privacy-protected,,
2025-10-28 08:12:10,EmailGateway,M365 Defender,erik.nilsen@datahaven.no,email.delivery,WIN10-DH-045,10.4.23.87,"NO, Oslo",Outlook Web,Phishing email delivered from support@micr0soft.com with HTML attachment redirecting to https://i9152.cisele0.com/NOZcbtTxxEiGj/; subject='Action required: Verify your account',,https://i9152.cisele0.com/NOZcbtTxxEiGj/
2025-10-28 08:12:11+0000,Network,TLSInspector,erik.nilsen@datahaven.no,tls.handshake,WIN10-DH-045,10.4.23.87,"NO, Oslo",,ClientHello SNI=i9152.cisele0.com; cipher=TLS_AES_128_GCM_SHA256; client_hello_len=512; server_cert_subject=CN=i9152.cisele0.com; issuer=Let's Encrypt; cert_sha256=abcde12345f...; cert_valid_to=2025-11-20,,
2025-10-28 08:12:12+0000,DNS,PassiveDNS,erik.nilsen@datahaven.no,pdns.cert,WIN10-DH-045,10.4.23.87,"NO, Oslo",,PassiveCert: i9152.cisele0.com cert issuer=Let's Encrypt; valid_from=2025-09-21; valid_to=2025-11-20; serial=0x1234,,
2025-10-28 08:12:16+0000,WebProxy,Proxy,erik.nilsen@datahaven.no,http.request,WIN10-DH-045,10.4.23.87,"NO, Oslo",,GET /socket HTTP/1.1; Host: i9152.cisele0.com; Upgrade: websocket; Connection: Upgrade; Sec-WebSocket-Key: x3JJHMbDL1EzLkh9GBhXDw==; Sec-WebSocket-Version: 13; Origin: https://i9152.cisele0.com; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/117.0,,https://i9152.cisele0.com;
2025-10-28 08:12:17+0000,WebProxy,Proxy,erik.nilsen@datahaven.no,network.response,WIN10-DH-045,10.4.23.87,"NO, Oslo",,HTTP/1.1 101 Switching Protocols; Upgrade: websocket; Connection: Upgrade; Sec-WebSocket-Accept: Hj6r... ,,
2025-10-28 08:12:21+0000,Netflow,Netflow,erik.nilsen@datahaven.no,wss.frame,WIN10-DH-045,10.4.23.87,"NO, Oslo",,WSS frame: 512 bytes binary; direction=client->server,,
2025-10-28 08:12:35,M365 Defender,M365 Defender,erik.nilsen@datahaven.no,email.click,WIN10-DH-045,10.4.23.87,"NO, Oslo",Outlook Web,Email click: user clicked https://i9152.cisele0.com/NOZcbtTxxEiGj/,,https://i9152.cisele0.com/NOZcbtTxxEiGj/
2025-10-28 08:12:48,DNS,DNS,erik.nilsen@datahaven.no,dns.query,WIN10-DH-045,10.4.23.87,"NO, Oslo",Edge,Query A record for i9152.cisele0.com -> 89.185.80.19,,
